epoch,acc,loss,val_acc,val_loss
0,0.982421875,0.12312197387686297,1.0,0.010000408627092838
1,0.98046875,0.1506411630230673,1.0,0.009664920158684254
2,0.986328125,0.09892030509547567,1.0,0.00906945951282978
3,0.986328125,0.1993281915879379,1.0,0.008706473745405674
4,0.990234375,0.10541734099251698,1.0,0.008619043044745922
5,0.98046875,0.19814499744597924,1.0,0.00860390905290842
6,0.98046875,0.1583951254119711,1.0,0.008636864833533764
7,0.9921875,0.08021310548883775,1.0,0.008499660529196262
8,0.990234375,0.0862102141871901,1.0,0.008022153750061989
9,0.984375,0.20193968345819258,1.0,0.00898001343011856
10,0.990234375,0.09327667016759733,1.0,0.008684569969773293
11,0.984375,0.15172806081886847,1.0,0.01025182381272316
12,0.978515625,0.19046767150882715,1.0,0.009312511421740055
13,0.98828125,0.07738475033886516,1.0,0.009008657187223434
14,0.990234375,0.04708319992323595,1.0,0.012644643895328045
15,0.990234375,0.057131541414264575,1.0,0.013422578573226929
16,0.9921875,0.026867600698778915,1.0,0.018428321927785873
17,0.984375,0.037148262747791705,1.0,0.012142179533839226
18,0.990234375,0.048282795049772176,1.0,0.031157750636339188
19,0.986328125,0.0387058194862675,1.0,0.012001986615359783
20,0.9921875,0.012281528020594124,1.0,0.009052620269358158
21,0.990234375,0.016286819834022026,1.0,0.009208329021930695
22,0.998046875,0.007859797948299274,1.0,0.008694160729646683
23,0.9921875,0.031307457490242996,1.0,0.008754597045481205
24,0.99609375,0.017657269607070702,1.0,0.009789321571588516
25,0.98828125,0.05451715386629985,1.0,0.009163456037640572
26,0.994140625,0.036953499048195226,1.0,0.009434518404304981
27,0.994140625,0.042965070715808906,1.0,0.010871797800064087
28,0.9921875,0.01837687981765157,1.0,0.010404051281511784
29,0.982421875,0.03847826555238498,1.0,0.010500297881662846
30,0.978515625,0.05773204510217056,1.0,0.010523736476898193
31,0.994140625,0.017745989148806984,1.0,0.009380243718624115
32,0.98828125,0.027216756157940836,1.0,0.017264243215322495
33,0.990234375,0.034703961231230096,1.0,0.009437421336770058
34,0.998046875,0.006506523204734549,1.0,0.008935471065342426
35,0.994140625,0.01772510973160024,1.0,0.008616169914603233
36,0.99609375,0.021350598517074104,1.0,0.00852818414568901
37,0.98828125,0.05884837968233114,1.0,0.01077742874622345
38,0.99609375,0.012715973434296757,1.0,0.009198864921927452
